state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
WI,Racine,Marketplace QHP,Marketplace issuer: Common Ground Healthcare Cooperative (Marketplace),Marketplace issuer: Common Ground Healthcare Cooperative,FIPS 55101,,,1638,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Common Ground Healthcare Cooperative]
WI,Racine,Marketplace QHP,UnitedHealth Group (Marketplace),UnitedHealth Group,FIPS 55101,,,1547,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: UnitedHealthcare]
WI,Racine,Marketplace QHP,Marketplace issuer: Chorus Community Health Plans (Marketplace),Marketplace issuer: Chorus Community Health Plans,FIPS 55101,,,1018,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Chorus Community Health Plans]
WI,Racine,Marketplace QHP,Marketplace issuer: Network Health (Marketplace),Marketplace issuer: Network Health,FIPS 55101,,,191,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Network Health]
WI,Racine,Marketplace QHP,Molina Healthcare (Marketplace),Molina Healthcare,FIPS 55101,,,187,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Molina Healthcare]
WI,Racine,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55101,,,142,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Richland,Marketplace QHP,Marketplace issuer: Dean Health Plan (Marketplace),Marketplace issuer: Dean Health Plan,FIPS 55103,,,455,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Dean Health Plan]
WI,Richland,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55103,,,168,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Richland,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55103,,,154,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Rock,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55105,,,2572,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
